Moschettone SX
t1: 56:34:88:66:fc:a2
Moschettone DX
t2: AB:67:88:FC:10:b6
Sternale
t3: AB:67:88:FC:10:b6

PAN;PT1;PT2;AxAN;AyAN;AzAN;AxTM1;AyTM1;AzTM1;AxTR1;AyTR1;AzTR1;AxTM2;AyTM2;AzTM2;AxTR2;AyTR2;AzTR2;GxAN;GyAN;GzAN;GxTM1;GyTM1;GzTM1;GxTR1;GyTR1;GzTR1;GxTM2;GyTM2;GzTM2;GxTR2;GyTR2;GzTR2;TIMESTAMP
98673.576;0.000;0.000;149.267;724.619;685.274;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;52.500;-280.000;-787.500;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1719305874522;
98673.576;0.000;0.000;149.938;725.290;684.847;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;52.500;-350.000;-840.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1719305874535;
98673.576;98724.194;0.000;151.097;726.632;685.335;-908.778;291.458;-288.591;268.095;-937.204;256.078;0.000;0.000;0.000;0.000;0.000;0.000;-17.500;-332.500;-857.500;280.000;-297.500;-17.500;-227.500;770.000;-245.000;0.000;0.000;0.000;0.000;0.000;0.000;1719305874571;
98673.748;98724.216;98697.949;150.182;726.937;685.823;-906.765;305.732;-286.334;280.112;-932.385;248.453;-941.535;231.861;-248.636;236.863;-953.064;229.421;-17.500;-262.500;-892.500;350.000;-227.500;-525.000;-70.000;805.000;280.000;910.000;-87.500;-70.000;-455.000;157.500;-245.000;1719305874613;
98673.748;98724.216;98697.949;148.718;726.083;687.165;-906.399;305.061;-283.040;276.269;-938.424;249.490;-936.594;249.551;-250.771;232.288;-945.744;231.678;-70.000;-315.000;-910.000;227.500;-192.500;-385.000;-87.500;717.500;17.500;822.500;-122.500;-105.000;-507.500;17.500;-350.000;1719305874626;
98673.748;98724.216;98696.277;147.437;726.571;687.470;-902.129;322.446;-285.480;280.783;-932.263;248.209;-938.424;242.658;-253.638;234.240;-942.389;233.813;-105.000;-297.500;-927.500;157.500;-245.000;-507.500;-87.500;665.000;262.500;752.500;-122.500;-262.500;-402.500;-35.000;-105.000;1719305874657;
98673.748;98724.130;98696.277;147.620;726.815;686.311;-905.362;311.832;-286.822;282.003;-938.180;246.257;-944.158;216.855;-248.697;226.920;-950.868;235.887;-87.500;-367.500;-875.000;175.000;-297.500;-525.000;-105.000;560.000;122.500;665.000;-87.500;490.000;-507.500;-35.000;-612.500;1719305874667;
98674.084;98724.130;98696.277;150.060;729.804;686.006;-898.042;330.437;-293.471;276.635;-929.213;252.906;-940.132;241.621;-258.213;235.765;-950.990;229.787;-87.500;-332.500;-787.500;192.500;-297.500;-525.000;-87.500;630.000;297.500;892.500;-262.500;-297.500;-700.000;105.000;35.000;1719305874688;
98674.084;98724.130;98696.277;149.084;728.889;686.250;-911.462;278.160;-288.896;260.897;-943.731;260.775;-949.648;194.224;-251.808;220.271;-958.188;239.303;-52.500;-140.000;-700.000;262.500;-332.500;105.000;-245.000;717.500;-350.000;945.000;-280.000;472.500;-647.500;157.500;-735.000;1719305874710;
98674.305;98724.130;98694.896;147.376;725.473;682.590;-911.157;296.277;-291.275;274.683;-940.681;249.856;-946.720;214.659;-249.124;236.619;-954.528;228.445;17.500;-175.000;-735.000;455.000;-437.500;-385.000;-297.500;875.000;122.500;980.000;105.000;385.000;-315.000;245.000;-262.500;1719305874757;
98674.305;98723.950;98694.896;144.875;725.717;684.603;-908.778;299.083;-287.554;275.842;-939.034;249.978;-936.289;250.222;-246.684;244.305;-945.256;224.785;-245.000;-350.000;-717.500;367.500;-52.500;-52.500;52.500;805.000;-175.000;980.000;35.000;-175.000;-332.500;157.500;-70.000;1719305874779;
98674.305;98723.950;98694.896;144.021;726.876;687.836;-901.702;322.080;-282.186;283.162;-928.725;246.013;-943.365;229.482;-249.673;238.510;-953.918;225.395;-297.500;-262.500;-700.000;315.000;-35.000;-490.000;105.000;735.000;210.000;752.500;-157.500;-70.000;-612.500;-52.500;-227.500;1719305874813;
98674.773;98723.952;98693.756;148.962;727.181;685.762;-899.140;322.995;-293.837;273.158;-932.202;252.052;-941.962;229.543;-251.320;226.737;-947.940;235.216;-70.000;-245.000;-665.000;70.000;-262.500;-455.000;-227.500;560.000;280.000;647.500;-175.000;315.000;-612.500;-122.500;-490.000;1719305874836;
98674.773;98723.952;98693.756;145.058;730.658;684.786;-907.070;300.181;-291.763;263.093;-940.864;259.555;-939.522;240.096;-258.457;234.606;-947.635;231.922;-35.000;-70.000;-490.000;157.500;-297.500;-70.000;-157.500;630.000;-245.000;980.000;-157.500;-280.000;-542.500;210.000;0.000;1719305874863;
98674.773;98723.952;98693.306;146.339;729.865;685.396;-904.935;310.124;-292.800;272.426;-940.742;252.357;-934.642;253.638;-254.431;231.861;-941.657;237.595;-245.000;-87.500;-455.000;332.500;-262.500;-525.000;-140.000;752.500;-17.500;1015.000;-52.500;0.000;-490.000;280.000;-245.000;1719305874886;
98674.357;98723.282;98693.306;150.243;725.290;686.616;-908.290;298.473;-294.996;269.437;-940.193;258.396;-948.062;213.927;-251.930;240.584;-957.029;225.578;-210.000;-17.500;-332.500;52.500;-490.000;-280.000;-332.500;472.500;-17.500;1032.500;-175.000;105.000;-595.000;297.500;-297.500;1719305874989;
98674.097;98723.282;98693.306;150.914;724.619;687.592;-904.996;310.368;-294.752;272.365;-934.947;255.041;-935.740;258.884;-253.943;244.732;-942.938;228.018;-192.500;-52.500;-455.000;210.000;-315.000;-262.500;-210.000;665.000;70.000;1015.000;-52.500;-367.500;-437.500;280.000;122.500;1719305874994;
98674.097;98723.282;98693.306;150.731;725.046;685.884;-903.776;308.599;-285.541;273.707;-935.557;252.540;-943.975;224.724;-244.305;235.582;-952.576;229.665;-35.000;-17.500;-595.000;332.500;-70.000;-297.500;70.000;770.000;52.500;787.500;157.500;420.000;-262.500;105.000;-630.000;1719305875017;
98674.097;98723.280;98693.306;147.193;725.839;684.359;-904.081;306.525;-283.406;269.986;-935.008;253.821;-939.888;238.571;-244.671;237.412;-954.772;225.883;157.500;-70.000;-822.500;367.500;-210.000;-297.500;-35.000;752.500;35.000;805.000;-157.500;-122.500;-560.000;0.000;-70.000;1719305875053;
98674.097;98723.280;98692.810;146.095;728.340;685.335;-904.691;308.843;-285.541;278.221;-935.557;249.551;-946.659;213.134;-254.370;225.700;-955.626;236.436;122.500;-140.000;-875.000;297.500;-315.000;-315.000;-262.500;735.000;35.000;682.500;-280.000;297.500;-735.000;-105.000;-542.500;1719305875060;
98674.219;98723.280;98692.810;146.156;726.571;684.542;-902.068;319.091;-288.164;278.038;-932.812;248.270;-942.694;231.800;-260.348;234.911;-950.624;232.410;210.000;-210.000;-892.500;227.500;-350.000;-385.000;-245.000;682.500;122.500;875.000;-140.000;140.000;-542.500;87.500;-402.500;1719305875084;
98674.219;98723.280;98692.810;146.339;726.632;683.505;-907.863;299.083;-285.907;272.975;-939.888;250.344;-943.670;228.506;-256.566;231.861;-951.356;233.630;105.000;-192.500;-945.000;192.500;-420.000;-122.500;-297.500;612.500;-122.500;910.000;-17.500;140.000;-385.000;157.500;-367.500;1719305875094;
98674.219;98723.280;98692.810;146.461;728.828;683.444;-904.386;315.065;-289.445;274.195;-934.642;251.137;-940.803;232.166;-247.843;231.983;-948.794;232.959;-122.500;-280.000;-945.000;192.500;-245.000;-210.000;-52.500;630.000;-70.000;962.500;105.000;70.000;-350.000;192.500;-280.000;1719305875106;
98674.219;98723.603;98692.150;145.790;729.377;684.298;-907.497;304.878;-285.541;275.171;-939.583;250.222;-939.705;232.898;-249.429;236.802;-946.049;231.251;-70.000;-105.000;-805.000;140.000;-122.500;-385.000;-52.500;595.000;-122.500;805.000;-157.500;227.500;-595.000;105.000;-262.500;1719305875123;
98674.495;98723.603;98691.692;143.533;729.133;683.871;-900.177;320.921;-285.358;271.877;-930.067;254.431;-942.206;229.848;-249.002;237.412;-947.696;230.519;-297.500;-105.000;-577.500;175.000;-192.500;-490.000;-35.000;612.500;192.500;805.000;-17.500;-52.500;-420.000;0.000;-140.000;1719305875170;
98674.495;98723.603;98691.692;143.533;729.133;683.871;-909.693;292.861;-285.907;269.315;-936.899;254.431;-936.350;245.830;-249.673;232.349;-944.219;233.996;-297.500;-105.000;-577.500;122.500;-420.000;-140.000;-192.500;542.500;-105.000;787.500;-35.000;-122.500;-437.500;17.500;-210.000;1719305875172;
98674.495;98723.603;98691.692;146.766;729.011;685.457;-905.118;307.928;-292.129;270.413;-931.226;254.248;-946.659;211.914;-249.856;231.495;-955.138;232.288;-490.000;-210.000;-490.000;192.500;-350.000;-175.000;-262.500;560.000;70.000;770.000;-297.500;262.500;-717.500;17.500;-332.500;1719305875182;
98674.495;98723.404;98691.450;147.559;725.656;687.775;-909.876;291.702;-289.445;271.938;-939.644;253.455;-942.328;231.129;-254.065;231.495;-954.833;233.020;-525.000;-122.500;-455.000;210.000;-332.500;-105.000;-192.500;735.000;-70.000;945.000;-245.000;-70.000;-647.500;122.500;-420.000;1719305875207;
98674.495;98723.404;98691.450;150.487;725.290;688.751;-904.752;308.050;-290.055;277.123;-937.143;250.832;-937.814;246.562;-255.712;234.789;-945.012;232.593;-490.000;-105.000;-420.000;297.500;-227.500;-157.500;-122.500;717.500;-140.000;980.000;-157.500;-52.500;-542.500;210.000;-262.500;1719305875229;
98674.299;98723.404;98691.450;148.352;726.388;687.287;-903.349;315.797;-285.053;278.038;-936.594;249.673;-944.951;221.308;-249.673;237.412;-951.844;230.092;-385.000;-35.000;-437.500;315.000;-122.500;-455.000;-52.500;717.500;157.500;980.000;-52.500;140.000;-437.500;192.500;-297.500;1719305875235;
98674.299;98723.404;98691.450;147.010;728.157;685.091;-903.471;309.575;-282.003;276.635;-933.483;250.100;-939.949;239.913;-248.941;238.937;-946.293;228.750;-350.000;-70.000;-420.000;210.000;-175.000;-192.500;-52.500;647.500;17.500;962.500;-17.500;-105.000;-385.000;140.000;-157.500;1719305875249;
98674.299;98723.404;98691.450;145.485;727.974;684.176;-906.521;301.035;-281.942;273.097;-936.960;249.185;-940.864;231.922;-245.769;233.996;-950.136;229.726;-350.000;-140.000;-455.000;175.000;-280.000;-175.000;-227.500;542.500;35.000;787.500;-35.000;227.500;-490.000;52.500;-437.500;1719305875265;
98674.299;98723.384;98691.293;145.607;726.205;685.213;-902.373;316.529;-286.334;273.341;-932.690;251.869;-939.278;232.898;-248.636;236.375;-952.088;229.726;-507.500;-192.500;-542.500;122.500;-420.000;-350.000;-315.000;577.500;122.500;787.500;-280.000;-17.500;-647.500;0.000;-297.500;1719305875282;
98674.299;98723.384;98691.293;146.339;727.303;685.335;-905.545;306.220;-288.896;271.023;-938.180;254.492;-938.607;241.377;-251.076;234.667;-946.598;232.654;-577.500;-297.500;-595.000;52.500;-437.500;-175.000;-332.500;507.500;-87.500;770.000;-297.500;35.000;-770.000;-70.000;-367.500;1719305875295;
98674.196;98723.384;98691.293;146.400;723.826;686.677;-906.521;308.294;-292.434;271.328;-935.923;254.004;-943.304;223.199;-253.211;232.837;-951.966;233.325;-647.500;-262.500;-525.000;122.500;-402.500;-315.000;-385.000;560.000;35.000;770.000;-332.500;140.000;-752.500;-52.500;-472.500;1719305875310;
98674.196;98723.384;98691.293;147.925;722.667;690.642;-905.301;308.721;-292.312;276.635;-936.655;253.333;-941.169;232.044;-255.529;232.776;-948.794;233.813;-577.500;-192.500;-367.500;210.000;-350.000;-262.500;-175.000;647.500;35.000;787.500;-315.000;0.000;-700.000;52.500;-245.000;1719305875325;
98674.196;98723.384;98691.035;144.509;726.510;686.799;-904.386;310.795;-289.079;272.487;-935.191;251.076;-940.315;230.275;-248.148;231.922;-949.831;232.532;-542.500;-140.000;-87.500;227.500;-175.000;-332.500;-17.500;700.000;87.500;875.000;52.500;87.500;-367.500;122.500;-297.500;1719305875369;
98674.199;98723.100;98691.035;146.766;726.937;685.823;-903.898;314.455;-289.628;276.635;-934.215;251.198;-941.535;225.334;-246.928;231.251;-952.393;232.898;-630.000;-210.000;-35.000;262.500;-437.500;-385.000;-315.000;700.000;70.000;875.000;-87.500;140.000;-612.500;122.500;-402.500;1719305875389;
98674.199;98723.100;98691.035;145.241;725.778;686.860;-908.107;300.364;-286.029;277.367;-937.753;249.429;-940.681;237.778;-254.980;238.266;-947.208;231.190;-770.000;-350.000;-17.500;280.000;-245.000;-210.000;-70.000;735.000;-17.500;945.000;-315.000;-35.000;-665.000;122.500;-210.000;1719305875420;
98674.199;98723.100;98691.035;146.461;726.266;687.653;-903.288;316.590;-285.053;282.552;-934.520;247.782;-942.572;227.591;-252.601;234.667;-948.489;232.044;-805.000;-350.000;-17.500;332.500;-175.000;-472.500;-87.500;717.500;192.500;927.500;-87.500;245.000;-560.000;122.500;-437.500;1719305875438;
98674.199;98723.046;98691.035;148.352;725.168;687.958;-907.436;297.741;-282.979;274.317;-938.546;249.307;-945.134;221.247;-250.527;237.534;-951.661;228.384;-770.000;-402.500;52.500;105.000;-175.000;-105.000;-105.000;577.500;-87.500;962.500;-87.500;157.500;-455.000;157.500;-210.000;1719305875466;
98673.931;98723.046;98691.151;147.620;724.009;687.836;-900.665;318.603;-286.639;270.474;-930.860;255.224;-937.936;252.113;-250.527;244.183;-945.744;227.164;-700.000;-332.500;157.500;70.000;-315.000;-367.500;-210.000;472.500;105.000;875.000;17.500;-52.500;-385.000;105.000;-105.000;1719305875480;
98673.931;98723.046;98691.151;146.827;724.558;686.494;-905.240;300.730;-287.310;265.167;-937.997;259.372;-942.389;230.275;-247.721;233.691;-952.698;229.909;-752.500;-332.500;105.000;35.000;-402.500;-87.500;-280.000;490.000;-210.000;735.000;-122.500;-70.000;-490.000;-17.500;-297.500;1719305875490;
98674.110;98723.046;98690.977;152.744;725.656;686.982;-906.094;306.220;-294.325;276.757;-935.618;251.198;-943.060;231.800;-252.418;237.168;-953.674;228.994;-1137.500;-367.500;70.000;192.500;-542.500;-420.000;-332.500;647.500;227.500;1032.500;17.500;-157.500;-455.000;245.000;-227.500;1719305875549;
98674.110;98723.068;98690.977;152.744;725.656;686.982;-909.998;290.970;-289.811;275.415;-939.705;249.429;-934.947;256.566;-251.991;234.484;-944.280;232.288;-1137.500;-367.500;70.000;350.000;-227.500;-105.000;-87.500;822.500;-70.000;1032.500;52.500;-157.500;-332.500;157.500;-420.000;1719305875562;
98674.110;98723.068;98690.977;152.866;727.425;685.579;-897.676;329.217;-284.504;280.356;-930.616;248.941;-940.559;236.619;-248.819;237.351;-942.084;231.373;-910.000;-17.500;105.000;385.000;-105.000;-490.000;52.500;840.000;297.500;822.500;-122.500;-210.000;-525.000;35.000;-35.000;1719305875578;
98674.110;98723.426;98691.002;149.633;728.340;686.189;-909.876;296.521;-285.053;274.561;-941.169;249.673;-942.694;224.358;-247.111;231.312;-947.879;233.325;-1085.000;-122.500;17.500;122.500;-385.000;-210.000;-297.500;577.500;-192.500;735.000;-210.000;385.000;-647.500;0.000;-560.000;1719305875601;
98674.109;98723.426;98691.002;149.206;722.850;689.239;-908.046;296.826;-287.554;271.572;-936.838;253.272;-947.879;213.134;-248.453;238.876;-949.709;229.055;-1225.000;-140.000;-157.500;70.000;-420.000;-35.000;-297.500;525.000;-192.500;735.000;-280.000;192.500;-665.000;35.000;-87.500;1719305875630;
98674.109;98723.426;98691.002;149.999;724.009;688.080;-909.144;299.998;-288.286;272.914;-934.398;252.662;-935.801;249.246;-252.174;235.826;-942.511;233.325;-1225.000;-87.500;-105.000;140.000;-402.500;-297.500;-280.000;560.000;227.500;717.500;-227.500;70.000;-630.000;0.000;-140.000;1719305875639;
98674.109;98723.426;98691.002;150.426;720.532;687.714;-903.044;311.161;-289.750;271.511;-932.019;255.224;-945.988;217.892;-250.161;232.044;-955.504;231.434;-1190.000;-87.500;17.500;122.500;-402.500;-227.500;-280.000;542.500;52.500;770.000;-315.000;87.500;-700.000;17.500;-420.000;1719305875663;
98674.109;98723.497;98691.002;153.049;721.203;691.862;-906.521;307.745;-290.848;275.476;-937.875;250.649;-940.315;241.743;-254.248;232.471;-948.306;232.837;-1120.000;35.000;157.500;175.000;-350.000;-385.000;-227.500;612.500;35.000;787.500;-280.000;-140.000;-682.500;35.000;-87.500;1719305875671;
98674.109;98723.497;98690.973;154.208;721.874;691.252;-901.885;318.664;-292.434;271.755;-930.738;256.078;-945.805;214.903;-252.113;231.800;-953.552;233.386;-962.500;-35.000;140.000;210.000;-262.500;-367.500;-140.000;665.000;175.000;805.000;-245.000;332.500;-682.500;70.000;-560.000;1719305875694;
98673.822;98723.497;98690.973;155.001;720.898;690.825;-909.876;293.044;-288.652;270.108;-940.254;253.638;-947.391;212.280;-252.967;238.205;-951.478;229.055;-805.000;-105.000;-140.000;367.500;-262.500;-192.500;-157.500;735.000;-87.500;980.000;-52.500;210.000;-472.500;245.000;-192.500;1719305875750;
98673.822;98723.497;98690.973;153.598;721.813;687.836;-902.229;296.338;-279.075;272.365;-939.461;248.026;-940.132;237.473;-244.915;231.556;-954.528;229.970;-822.500;-87.500;-332.500;315.000;-245.000;-140.000;-157.500;682.500;-122.500;910.000;105.000;262.500;-455.000;140.000;-542.;1719305875763;
98673.822;98723.501;98690.973;152.561;721.630;688.324;-908.994;323.056;-286.822;279.136;-930.982;249.307;-943.121;227.164;-245.647;235.765;-951.295;228.018;-735.000;-175.000;-385.000;140.000;-437.500;-455.000;-245.000;560.000;210.000;822.500;-227.500;-52.500;-612.500;105.000;-210.000;1719305875781;
98673.822;98723.501;98691.074;149.145;722.362;688.141;-899.994;323.056;-286.822;279.136;-930.982;249.307;-943.121;227.164;-245.647;235.765;-951.295;228.018;-735.000;-175.000;-385.000;140.000;-437.500;-455.000;-245.000;560.000;210.000;822.500;-227.500;-52.500;-612.500;105.000;-210.000;1719305875784;
98673.442;98723.501;98691.074;147.010;719.556;688.263;-903.227;314.455;-288.164;277.001;-934.032;249.246;-943.243;225.822;-252.662;237.168;-953.064;230.946;-647.500;-402.500;-525.000;52.500;-385.000;-227.500;-262.500;542.500;-52.500;700.000;-157.500;210.000;-577.500;-52.500;-420.000;1719305875797;
98673.442;98723.501;98691.074;147.620;719.007;686.799;-904.203;307.013;-289.201;268.156;-935.618;255.224;-941.291;229.482;-252.479;230.336;-949.953;234.423;-577.500;-455.000;-542.500;105.000;-262.500;-350.000;-105.000;542.500;105.000;770.000;-175.000;35.000;-595.000;0.000;-297.500;1719305875800;
98673.442;98723.501;98691.028;145.607;724.436;689.300;-906.521;304.329;-288.530;269.864;-935.435;254.614;-942.877;231.922;-256.017;233.447;-951.173;232.715;-805.000;-402.500;-490.000;157.500;-350.000;-315.000;-157.500;560.000;35.000;910.000;-52.500;105.000;-490.000;140.000;-297.500;1719305875853;
98673.442;98723.395;98691.028;145.607;724.436;689.300;-906.155;307.135;-290.787;273.768;-935.008;254.065;-943.182;224.419;-251.442;232.227;-951.539;232.166;-805.000;-402.500;-490.000;280.000;-245.000;-280.000;-122.500;700.000;35.000;962.500;-52.500;105.000;-402.500;227.500;-367.500;1719305875863;
98673.380;98723.395;98691.028;147.803;721.081;689.666;-902.129;319.762;-285.480;277.855;-931.287;250.466;-938.485;244.061;-250.466;238.449;-947.025;229.421;-1102.500;-595.000;-262.500;315.000;-140.000;-402.500;-52.500;700.000;52.500;945.000;-52.500;-35.000;-455.000;175.000;-192.500;1719305875887;
98673.380;98723.395;98691.028;150.792;720.593;694.302;-905.606;303.475;-283.345;271.816;-938.119;252.662;-940.925;237.961;-248.819;237.900;-947.940;229.360;-997.500;-700.000;-192.500;227.500;-210.000;-227.500;-157.500;647.500;0.000;910.000;-17.500;192.500;-402.500;157.500;-367.500;1719305875921;
98673.380;98723.664;98691.028;152.378;720.776;693.204;-904.617;314.699;-288.774;275.903;-935.496;251.625;-941.047;234.301;-250.588;236.375;-949.038;231.312;-910.000;-665.000;-157.500;157.500;-332.500;-315.000;-192.500;612.500;17.500;822.500;-210.000;0.000;-630.000;17.500;-210.000;1719305875941;
98673.380;98723.664;98691.052;153.415;722.362;693.997;-902.617;314.699;-288.774;275.903;-935.496;251.625;-941.047;234.301;-250.588;236.375;-949.038;231.312;-910.000;-665.000;-157.500;157.500;-332.500;-315.000;-192.500;612.500;17.500;822.500;-210.000;0.000;-630.000;17.500;-210.000;1719305875954;
