TYPE_EVENT,START_OFFSET_SECOND,END_OFFSET_SECOND
dx_aggancio,33.805,36.235
sx_aggancio,36.17271,37.947
dx_sgancio,41.02771,42.42771
dx_aggancio,42.42771,43.97771
sx_sgancio,45.39809,46.02309
sx_aggancio,46.027,47.027
sx_sgancio,51.12976,52.08559
sx_aggancio,52.071,54.031
dx_sgancio,54.544,56.224
dx_aggancio,56.887,58.427
sx_sgancio,66.146,67.746
sx_aggancio,67.751,69.131
dx_sgancio,69.105,70.685
dx_aggancio,70.856,72.616
sx_sgancio,82.277,83.977
sx_aggancio,85.477,86.997
dx_sgancio,88.229,90.629
dx_aggancio,91.04,92.82
dx_sgancio,101.688,103.748
dx_aggancio,104.861,106.401
sx_sgancio,111.692,113.512
sx_aggancio,114.263,115.323
dx_sgancio,122.781,124.721
dx_aggancio,125.001,126.881
sx_sgancio,127.275,128.735
sx_aggancio,129.189,131.309
sx_sgancio,139.828,140.748
sx_aggancio,140.813,142.193
dx_sgancio,142.759,144.619
dx_aggancio,144.679,146.159
dx_sgancio,159.309,160.769
dx_aggancio,162.22,163.92
dx_sgancio,166.941,168.361
sx_sgancio,169.698,170.758
