TYPE_EVENT,START_OFFSET_SECOND,END_OFFSET_SECOND
dx_sgancio,20.615,21.415
dx_aggancio,21.629,22.409
sx_sgancio,23.28,24.14
sx_aggancio,24.324,25.184
sx_sgancio,32.964,33.824
sx_aggancio,34.023,34.923
dx_sgancio,36.814,37.634
dx_aggancio,38.129,39.069
dx_sgancio,53.809,54.789
dx_aggancio,55.073,56.233
sx_sgancio,56.631,57.511
sx_aggancio,57.77,58.61
sx_sgancio,77.789,79.149
sx_aggancio,79.328,80.328
dx_sgancio,83.34,84.5
dx_aggancio,84.854,85.734
sx_sgancio,90.207,91.647
dx_sgancio,95.093,96.073
dx_aggancio,105.346,106.186
sx_aggancio,107.051,108.111
sx_sgancio,109.913,110.993
dx_sgancio,113.108,114.268
dx_aggancio,124.942,126.302
sx_aggancio,127.691,128.771
sx_sgancio,148.996,149.856
sx_aggancio,149.935,151.395
dx_sgancio,151.936,152.936
dx_aggancio,153.074,154.274
dx_sgancio,166.249,167.589
dx_aggancio,168.559,169.859
sx_sgancio,171.043,172.203
sx_aggancio,173.364,174.644
sx_sgancio,185.106,185.886
sx_aggancio,186.184,187.224
dx_sgancio,189.719,190.379
dx_aggancio,191.064,192.144
dx_sgancio,207.415,208.295
dx_aggancio,209.189,210.229
sx_sgancio,211.991,212.831
sx_aggancio,213.83,214.75
dx_sgancio,224.128,225.348
dx_aggancio,225.849,227.049
sx_sgancio,228.84,230.12
sx_aggancio,230.594,232.374
sx_sgancio,245.392,247.132
sx_aggancio,248.183,250.023
dx_sgancio,251.702,253.142
dx_aggancio,254.101,255.721
